newton_team,match_key,event_key,comp_level,match_number,newton_alliance,opposing_alliance,top_defenders_in_opposing,expected_score,actual_score,suppression,suppression_pct,tba_url
frc2194,2026wicmp_f1m1,2026wicmp,f,1,"frc6421,frc2194,frc1306","frc10553,frc3197,frc1732",frc3197,239.3,0.0,239.3,1.0,https://www.thebluealliance.com/match/2026wicmp_f1m1
frc10553,2026wicmp_sf7m1,2026wicmp,sf,1,"frc10553,frc3197,frc1732","frc4786,frc706,frc1792",frc4786,198.3,0.0,198.3,1.0,https://www.thebluealliance.com/match/2026wicmp_sf7m1
frc948,2026wasam_qm20,2026wasam,qm,20,"frc3826,frc948,frc4469","frc2046,frc9442,frc2522",frc2522,179.4,35.0,144.4,0.805,https://www.thebluealliance.com/match/2026wasam_qm20
frc9029,2026tuis_qm46,2026tuis,qm,46,"frc9077,frc6431,frc9029","frc9483,frc10308,frc9601",frc10308,193.0,62.0,131.0,0.679,https://www.thebluealliance.com/match/2026tuis_qm46
frc1833,2026gagai_qm5,2026gagai,qm,5,"frc8849,frc4459,frc1833","frc8080,frc4509,frc8577","frc8080,frc4509",176.2,56.0,120.2,0.682,https://www.thebluealliance.com/match/2026gagai_qm5
frc5549,2026mdbet_sf13m1,2026mdbet,sf,1,"frc7886,frc5549,frc449","frc2421,frc2537,frc5338",frc5338,155.4,44.0,111.4,0.717,https://www.thebluealliance.com/match/2026mdbet_sf13m1
frc3256,2026casnv_qm10,2026casnv,qm,10,"frc3256,frc5499,frc2813","frc6665,frc8404,frc1868",frc6665,206.7,96.0,110.7,0.536,https://www.thebluealliance.com/match/2026casnv_qm10
frc930,2026wiply_f1m1,2026wiply,f,1,"frc8531,frc930,frc1714","frc6421,frc1732,frc1306",frc1306,143.7,48.0,95.7,0.666,https://www.thebluealliance.com/match/2026wiply_f1m1
frc604,2026cahal_qm4,2026cahal,qm,4,"frc604,frc670,frc3045","frc1452,frc5760,frc8793",frc8793,227.9,142.0,85.9,0.377,https://www.thebluealliance.com/match/2026cahal_qm4
frc2910,2026wasno_qm38,2026wasno,qm,38,"frc9317,frc2910,frc4915","frc3681,frc8051,frc2522",frc2522,188.8,103.0,85.8,0.454,https://www.thebluealliance.com/match/2026wasno_qm38
