newton_team,home_district,match_count_in_district,ridge_offense,avg_score,encounters_with_top_defenders,avg_suppression,avg_suppression_pct,biggest_suppression,biggest_suppression_match_key,biggest_suppression_defender
frc1833,2026pch,51,189.02287481749096,355.5686274509804,20,-124.0,-0.458,120.2,2026gagai_qm5,"frc8080,frc4509"
frc2046,2026pnw,72,158.92374555668331,380.81944444444446,25,-150.5,-0.607,68.2,2026wasam_f1m3,"frc1294,frc2522"
frc180,2026regionals,30,154.61197162280584,356.2,0,,,,,
frc1796,2026regionals,43,145.6784416158356,382.48837209302326,1,-59.8,-0.351,-59.8,2026nyn2_qm9,frc10045
frc9128,2026fit,53,143.2592772712584,447.07547169811323,14,-206.6,-0.748,20.5,2026txcle_qm59,"frc5414,frc5790"
frc5736,2026regionals,26,143.0936095693841,383.8076923076923,0,,,,,
frc4400,2026regionals,31,140.42397479979158,330.51612903225805,0,,,,,
frc341,2026fma,51,138.49809164420762,289.3333333333333,16,-80.7,-0.379,77.1,2026pahat_qm51,frc2607
frc1540,2026pnw,71,133.68972682648794,322.19718309859155,20,-126.5,-0.563,24.8,2026orsal_f1m2,frc955
frc9408,2026ca,47,131.9544463156845,352.93617021276594,1,-251.9,-0.842,-251.9,2026cascmp_sf5m1,frc5199
frc195,2026ne,54,130.08406549866172,398.55555555555554,11,-138.2,-0.594,40.9,2026mawne_qm63,frc173
frc2067,2026ne,50,124.3725860074252,316.22,11,-167.4,-0.757,-24.2,2026mawne_qm56,frc173
frc2052,2026regionals,31,121.95016646890453,260.7096774193548,0,,,,,
frc599,2026ca,47,115.38707714281745,327.70212765957444,5,-112.9,-0.602,43.2,2026caven_qm70,frc5199
frc604,2026ca,49,115.37644049695976,364.57142857142856,15,-161.0,-0.902,85.9,2026cahal_qm4,frc8793
frc6036,2026ca,53,114.91071304070407,337.41509433962267,8,-146.8,-0.702,22.5,2026caven_qm7,frc5199
frc148,2026fit,52,114.13296510314746,294.61538461538464,7,-134.9,-0.668,-17.6,2026txcmp2_qm6,frc10518
frc948,2026pnw,54,113.20565375791082,311.44444444444446,16,-112.6,-0.525,144.4,2026wasam_qm20,frc2522
frc6647,2026regionals,46,111.21330738282145,295.4130434782609,5,13.6,0.143,68.9,2026arli_sf12m1,frc16
frc695,2026regionals,51,108.49707382218799,312.6666666666667,0,,,,,
frc3256,2026ca,52,108.08647112951996,350.71153846153845,18,-99.0,-0.486,110.7,2026casnv_qm10,frc6665
frc973,2026ca,52,104.71375790773898,360.3269230769231,15,-185.6,-1.083,-59.6,2026caclv_qm6,frc8793
frc2783,2026regionals,31,98.41579936075055,284.258064516129,0,,,,,
frc687,2026ca,53,94.65710173400002,309.0377358490566,3,-173.2,-0.939,-61.8,2026cascmp_qm61,frc3925
frc2910,2026pnw,54,90.75535183681531,308.037037037037,30,-123.3,-0.644,85.8,2026wasno_qm38,frc2522
frc88,2026ne,51,90.73657071396283,338.88235294117646,17,-108.9,-0.551,13.0,2026necmp2_f1m2,frc6201
frc2370,2026ne,49,84.82850345558147,310.1020408163265,7,-146.0,-0.766,2.2,2026mawor_qm73,frc1768
frc8046,2026ne,48,81.68386041374374,260.7291666666667,11,-81.9,-0.496,46.3,2026mefal_sf8m1,frc7407
frc3005,2026fit,50,80.77885236051394,258.86,6,-84.6,-0.692,-0.7,2026txfar_qm54,"frc5790,frc7506"
frc2996,2026regionals,28,79.02070705989682,281.64285714285717,4,-99.3,-0.805,-39.5,2026cosp_qm63,frc4499
