newton_team,home_district,ridge_defense,defensive_specialist_index_shrunk,rank_in_district,suppression_rating_pct,suppression_samples,is_top_defender_in_district
frc948,2026pnw,7.843558649101341,3.4366768241428534,1,-0.009892335339722946,31,True
frc1807,2026fma,6.3844663756892475,3.010451570250158,1,-0.003532781430358736,25,True
frc1833,2026pch,-4.232237833226666,2.7353929270915103,1,0.001995025838814007,18,True
frc4561,2026fnc,-10.617470100504567,2.566707510778351,1,-0.018041550631911877,22,True
frc5414,2026fit,-4.980826269298165,2.1220447502427793,1,-0.019775238409845356,25,True
frc341,2026fma,2.913698104256838,2.1171797118790208,3,-0.01758267786096285,24,True
frc3044,2026regionals,0.7055347720334675,1.714807082560504,5,-0.018590225336590143,10,True
frc687,2026ca,-5.228834081458133,1.6482917700955022,17,-0.020934734948219114,28,False
frc9408,2026ca,-5.150668682352436,1.6142481702616007,20,-0.04917863307263551,23,False
frc8373,2026fim,-7.1991957858497955,1.540064461236912,28,-0.030674708107394873,28,False
frc10979,2026fma,-15.24688549223733,1.1662514052640691,10,-0.014942147577074235,20,True
frc973,2026ca,-10.386120486035889,1.0815415716941479,33,-0.07349024769709167,30,False
frc4099,2026fch,-11.119715238136251,1.0427027408120866,6,-0.06754887297861739,30,True
frc5549,2026fch,-16.54091519993713,0.9885044176935661,7,-0.10564877733268134,27,True
frc2046,2026pnw,-10.989759642102273,0.9720563236874653,11,-0.06910027609285935,36,False
frc9245,2026fim,-10.184323065756365,0.9591736333243873,69,-0.03827838392729126,24,False
frc2996,2026regionals,-8.212025844759724,0.9444498199447814,46,-0.04441273904888507,13,False
frc6036,2026ca,-13.43241673651863,0.9154015560811175,39,-0.04692525874246271,31,False
frc868,2026fin,-13.627806879268558,0.8964726554433601,8,-0.07248205754204315,21,True
frc604,2026ca,-8.177512461555537,0.8808122521216843,43,-0.0762867448166947,26,False
frc599,2026ca,-10.337686933470648,0.8748503473688596,45,-0.06937401067259115,26,False
frc818,2026fim,-11.646216380202462,0.8592469116228907,83,-0.06506701271989873,28,False
frc2586,2026fim,-7.410389934746023,0.8391045174941357,85,-0.056558327968265154,29,False
frc346,2026fch,-13.049738166835919,0.7422751402066192,18,-0.10738542827440263,22,False
frc10553,2026win,-13.42642616377851,0.7103187689825023,11,-0.08992670754735188,26,False
frc1796,2026regionals,-8.336776652703765,0.7102712869829004,84,-0.05643268360855925,16,False
frc7160,2026fim,-10.609135149569004,0.6982923752418233,98,-0.06196942061158358,27,False
frc3005,2026fit,-18.592640001732015,0.6222859858635631,17,-0.0386250869762895,27,False
frc3256,2026ca,-21.951910239761684,0.6217076080688939,63,-0.03724536076998419,27,False
frc2370,2026ne,-12.236155198492455,0.5681533690077428,24,-0.10519204859378554,26,False
frc148,2026fit,-10.907746008484098,0.5644574191747114,22,-0.08876689087929436,33,False
frc195,2026ne,-14.926890626445866,0.5234432491805231,29,-0.09958373041736254,31,False
frc6436,2026regionals,-16.201295914196386,0.3957807456302185,227,-0.06552702628267992,9,False
frc2052,2026regionals,-8.12863065592886,0.37157914224876776,244,-0.09953866220120848,13,False
frc8046,2026ne,-20.611972630542986,0.3652307981913768,49,-0.09764996672350792,28,False
frc4206,2026fit,-14.168117762020444,0.3628346205324875,37,-0.10142276787702956,23,False
frc1540,2026pnw,-16.234590185892234,0.32999517271673323,37,-0.1253032893248847,38,False
frc3966,2026regionals,-10.009471228476778,0.30279534284954734,303,-0.09951371729998548,9,False
frc2783,2026regionals,-10.759794972481512,0.29358527591279865,317,-0.09617878428194912,9,False
frc5216,2026fim,-16.139972012699516,0.29104983034035825,152,-0.10027181018603212,27,False
frc424,2026regionals,-12.985702182594597,0.2908646286749536,323,-0.07730727035999199,11,False
frc9450,2026pnw,-18.258605730288682,0.2877135646133348,38,-0.11540995917541605,30,False
frc5948,2026regionals,-13.418664229678702,0.2721636503139265,346,-0.061753640315203286,3,False
frc6352,2026regionals,-10.346754119405647,0.21751373293894194,420,-0.09334627233208186,6,False
frc9029,2026regionals,-13.851845478603401,0.11870494989922324,551,-0.10887123530735736,13,False
frc9128,2026fit,-16.129387746365904,0.11665888306287371,64,-0.12777233317934567,26,False
frc88,2026ne,-19.97910760300521,0.11346196246903302,76,-0.1397666056804184,29,False
frc2067,2026ne,-24.76419853154479,0.09736030081370353,79,-0.11992994946267858,26,False
frc2194,2026win,-21.82708687436464,0.04274471890738546,32,-0.11685497349639613,25,False
frc930,2026win,-26.556377896482648,-0.007415101298016771,34,-0.09736649055114248,27,False
frc3276,2026regionals,-16.416198091504526,-0.050133234659945194,839,-0.12156046884818651,11,False
frc1108,2026regionals,-14.991084710375354,-0.061495247686031415,857,-0.13266291539843886,10,False
frc2713,2026ne,-30.08451949204488,-0.07729782547087798,107,-0.12225729925242244,31,False
frc386,2026regionals,-17.8211790086942,-0.09940509821539356,917,-0.12219728952464069,11,False
