address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
3200 E Ave J8,Lancaster,USA,[],2026-04-04,caasv,1,District,caasv,,,,2026caasv,,,Eastside High School,CA District Aerospace Valley Event,,10,Double Elimination Bracket (8 Alliances),93535,,Aerospace Valley,2026-04-02,CA,America/Los_Angeles,"[{'channel': 'bD3UmKmS6uc', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': '7jkS_mVQRLU', 'date': '2026-04-04', 'type': 'youtube'}]",https://cafirst.org/,4,2026,ca,FIRST California,2026ca,46,120,2026
1750 Harbor Street,Pittsburg,USA,[],2026-04-04,cacac,1,District,cacac,,,,2026cacac,,,Pittsburg High School,CA District Contra Costa Event,,10,Double Elimination Bracket (8 Alliances),94565,,Contra Costa,2026-04-02,CA,America/Los_Angeles,"[{'channel': 'vmOwcdR8Bok', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': '1g2Jmoz9jkA', 'date': '2026-04-04', 'type': 'youtube'}]",https://cafirst.org/,4,2026,ca,FIRST California,2026ca,46,120,2026
1560 N Minnewawa Ave,Clovis,USA,[],2026-03-29,caclv,1,District,caclv,,,,2026caclv,,,Buchanan High School,CA District Central Valley Event,,10,Double Elimination Bracket (8 Alliances),93619,,Central Valley,2026-03-27,CA,America/Los_Angeles,"[{'channel': 'firstinspires4', 'type': 'twitch'}, {'channel': 'jPO5tFGtx74', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'Fw5hUExEpa0', 'date': '2026-03-29', 'type': 'youtube'}]",https://cafirst.org/,3,2026,ca,FIRST California,2026ca,46,120,2026
1980 Allston Way,Berkeley,USA,[],2026-04-04,caetb,1,District,caetb,,,,2026caetb,,,Berkeley High School,CA District East Bay Event,,10,Double Elimination Bracket (8 Alliances),94704,,East Bay,2026-04-02,CA,America/Los_Angeles,"[{'channel': 'i_hlfB1pmCE', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'J_arfeUMCl4', 'date': '2026-04-04', 'type': 'youtube'}]",https://cafirst.org/,4,2026,ca,FIRST California,2026ca,46,120,2026
1440 E Broadway,Glendale,USA,[],2026-03-29,cagle,1,District,cagle,,,,2026cagle,,,Glendale High School,CA District Glendale Event,,10,Double Elimination Bracket (8 Alliances),91205,,Glendale,2026-03-27,CA,America/Los_Angeles,"[{'channel': 'firstinspires3', 'type': 'twitch'}, {'channel': 'bzdnu-n_Hb8', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': '3-wNH_65zBM', 'date': '2026-03-29', 'type': 'youtube'}]",https://cafirst.org/,3,2026,ca,FIRST California,2026ca,46,120,2026
600 Church Street,Half Moon Bay,USA,[],2026-03-08,cahal,1,District,cahal,,,,2026cahal,,,Boys & Girls Club of the Coastside,CA District Half Moon Bay Event,,10,Double Elimination Bracket (8 Alliances),94019,,Half Moon Bay,2026-03-06,CA,America/Los_Angeles,"[{'channel': 'HkF7oxxanic', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'R4d_c-pO23I', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'JOcMhq_u9Es', 'date': '2026-03-08', 'type': 'youtube'}]",https://cafirst.org/,0,2026,ca,FIRST California,2026ca,46,120,2026
Wiseburn USD - WDV Gymnasium 201 N. Douglas Street,El Segundo,USA,[],2026-03-22,calas,1,District,calas,,,,2026calas,,,DaVinci High School,CA District Los Angeles Event,,10,Double Elimination Bracket (8 Alliances),90245,,Los Angeles,2026-03-20,CA,America/Los_Angeles,"[{'channel': 'XiiTrowupd8', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'OsOVv0WnbEY', 'date': '2026-03-22', 'type': 'youtube'}]",https://cafirst.org/,2,2026,ca,FIRST California,2026ca,46,120,2026
2600 Geneva Ave,Daly City,USA,[],2026-04-12,cancmp,2,District Championship,cancmp,,,,2026cancmp,,,Cow Palace Arena & Event Center,FIRST California Northern State Championship,,10,Double Elimination Bracket (8 Alliances),94014,,California Northern,2026-04-09,CA,America/Los_Angeles,"[{'channel': 'zs_AxRJusy0', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'VPIY_1F3Mvg', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'NQUe8VRXmwk', 'date': '2026-04-12', 'type': 'youtube'}]",https://cafirst.org/,5,2026,ca,FIRST California,2026ca,46,120,2026
26301 Via Escolar,Mission Viejo,USA,[],2026-04-04,caoec,1,District,caoec,,,,2026caoec,,,Capistrano Valley High School,CA District Orange County Event,,10,Double Elimination Bracket (8 Alliances),92692,,Orange County,2026-04-02,CA,America/Los_Angeles,"[{'channel': 'eeGYe9lUGLk', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'srSboUvmpg0', 'date': '2026-04-04', 'type': 'youtube'}]",https://cafirst.org/,4,2026,ca,FIRST California,2026ca,46,120,2026
1220 Monterey Street,Hollister,USA,[],2026-03-29,capin,1,District,capin,,,,2026capin,,,Hollister High School,CA District Pinnacles Event presented by Apple,,10,Double Elimination Bracket (8 Alliances),95023,,Pinnacles,2026-03-27,CA,America/Los_Angeles,"[{'channel': 'firstinspires2', 'type': 'twitch'}, {'channel': 'FtHIDoIn9i4', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'XZIxJ3KI31s', 'date': '2026-03-29', 'type': 'youtube'}]",https://cafirst.org/,3,2026,ca,FIRST California,2026ca,46,120,2026
333 Ponoma Street,Port Hueneme,USA,[],2026-03-08,capoh,1,District,capoh,,,,2026capoh,,,Port of Hueneme,CA District Hueneme Port Event,,10,Double Elimination Bracket (8 Alliances),93041,,Hueneme Port,2026-03-06,CA,America/Los_Angeles,"[{'channel': 'VLOudDy7q60', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'mOWy-d8mCOY', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'PIs60Ozjnw8', 'date': '2026-03-08', 'type': 'youtube'}]",https://cafirst.org,0,2026,ca,FIRST California,2026ca,46,120,2026
9531 Bond Road,Elk Grove,USA,[],2026-03-22,casac,1,District,casac,,,,2026casac,,,Pleasant Grove High School,CA District Sacramento Event,,10,Double Elimination Bracket (8 Alliances),95624,,Sacramento,2026-03-20,CA,America/Los_Angeles,"[{'channel': '9Cy_jGyWpxc', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'd-hw7nU4pI0', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'vIO5XuyaM3I', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '2873hDHUDQk', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': '91MtuWNbj1Y', 'date': '2026-03-22', 'type': 'youtube'}]",,2,2026,ca,FIRST California,2026ca,46,120,2026
800 W Katella Ave,Anaheim,USA,[],2026-04-12,cascmp,2,District Championship,cascmp,,,,2026cascmp,,,Anaheim Convention Center Arena,FIRST California Southern State Championship presented by Qualcomm,,10,Double Elimination Bracket (8 Alliances),92802,,California Southern,2026-04-09,CA,America/Los_Angeles,"[{'channel': 'ZoR-1PX4rGU', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'fQMyeb_lJwE', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'SJGDQcI0_UU', 'date': '2026-04-12', 'type': 'youtube'}]",https://cafirst.org/,5,2026,ca,FIRST California,2026ca,46,120,2026
1151 San Gabriel Blvd,Rosemead,USA,[],2026-03-29,casgv,1,District,casgv,,,,2026casgv,,,Don Bosco Technical Institute,CA District San Gabriel Valley Event,,10,Double Elimination Bracket (8 Alliances),91770,,San Gabriel Valley,2026-03-27,CA,America/Los_Angeles,"[{'channel': 'firstinspires1', 'type': 'twitch'}, {'channel': 'lkZJYfZOh8s', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'NTsmcARhClc', 'date': '2026-03-29', 'type': 'youtube'}]",https://cafirst.org/,3,2026,ca,FIRST California,2026ca,46,120,2026
6501 Linda Vista Road,San Diego,USA,[],2026-03-22,casnd,1,District,casnd,,,,2026casnd,,,Francis Parker High School,CA District San Diego Event presented by Qualcomm,,10,Double Elimination Bracket (8 Alliances),92111,,San Diego,2026-03-20,CA,America/Los_Angeles,"[{'channel': '15O68fueiHE', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'ZmCg_bhh7kA', 'date': '2026-03-22', 'type': 'youtube'}]",https://cafirst.org/,2,2026,ca,FIRST California,2026ca,46,120,2026
2001 37th Ave,San Francisco,USA,[],2026-03-15,casnf,1,District,casnf,,,,2026casnf,,,St. Ignatius College Preparatory,CA District San Francisco Event,,10,Double Elimination Bracket (8 Alliances),94116,,San Francisco,2026-03-13,CA,America/Los_Angeles,"[{'channel': 'teZtwE8bQqU', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'eNgH7MA9oDE', 'date': '2026-03-15', 'type': 'youtube'}]",https://cafirst.org/,1,2026,ca,FIRST California,2026ca,46,120,2026
199 Churchill Ave,Woodside,USA,[],2026-03-15,casnv,1,District,casnv,,,,2026casnv,,,Woodside High School,CA District Silicon Valley Event presented by Apple,,10,Double Elimination Bracket (8 Alliances),94062,,Silicon Valley,2026-03-13,CA,America/Los_Angeles,"[{'channel': 'cDrULy1VYdw', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'X2i8XahQSsM', 'date': '2026-03-15', 'type': 'youtube'}]",https://cafirst.org/,1,2026,ca,FIRST California,2026ca,46,120,2026
4667 Telegraph Road,Ventura,USA,[],2026-03-15,caven,1,District,caven,,,,2026caven,,,Ventura College Sportsplex,CA District Ventura County Event,,10,Double Elimination Bracket (8 Alliances),93003,,Ventura County,2026-03-13,CA,America/Los_Angeles,"[{'channel': 'dcN80R-vNaI', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': '3LBgSEkFGFU', 'date': '2026-03-15', 'type': 'youtube'}]",https://cafirst.org/,1,2026,ca,FIRST California,2026ca,46,120,2026
