address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
100 W Van Buren Street,Battle Creek,USA,[],2026-03-29,mibat,1,District,mibat,,,,2026mibat,,,Battle Creek Central High School,FIM District Battle Creek Event presented by BlueOval Battery Park Michigan,,10,Double Elimination Bracket (8 Alliances),49012,,Battle Creek,2026-03-27,MI,America/New_York,"[{'channel': 'firstinspires34', 'type': 'twitch'}, {'channel': 'gY6YFkCoRv8', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'WTb9vq3e0GM', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'nSFPALpf9-c', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.firstinmichigan.org,3,2026,fim,FIRST in Michigan,2026fim,83,160,2026
501 W Columbia Ave,Belleville,USA,[],2026-03-21,mibel,1,District,mibel,,,,2026mibel,,,Belleville High School,FIM District Belleville Event presented by DTE,,10,Double Elimination Bracket (8 Alliances),48111,,Belleville,2026-03-19,MI,America/New_York,"[{'channel': 'U9STi0vbxEs', 'date': '2026-03-19', 'type': 'youtube'}, {'channel': 'O9VySzJE-Xk', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'MmLwXYWWzf8', 'date': '2026-03-21', 'type': 'youtube'}]",http://www.firstinmichigan.org,2,2026,fim,FIRST in Michigan,2026fim,83,160,2026
201 Sylvester Ave,Berrien Springs,USA,[],2026-03-22,miber,1,District,miber,,,,2026miber,,,Berrien Springs High School,FIM District Berrien Springs Event presented by Edgewater Automation,,10,Double Elimination Bracket (8 Alliances),49103,,Berrien Springs,2026-03-20,MI,America/New_York,"[{'channel': '3kECUW4A1HE', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'a07xmbouhyU', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': '2mtE_qEtvKw', 'date': '2026-03-22', 'type': 'youtube'}]",http://www.firstinmichigan.org,2,2026,fim,FIRST in Michigan,2026fim,83,160,2026
210 Sports Drive,Big Rapids,USA,[],2026-04-11,mibig,1,District,mibig,,,,2026mibig,,,Ferris State University,FIM District Ferris State Event presented by Ferris State University,,10,Double Elimination Bracket (8 Alliances),49307,,Ferris State,2026-04-09,MI,America/New_York,"[{'channel': 'RVC44r6EmHU', 'date': '2026-04-09', 'type': 'youtube'}, {'channel': 'IzU7GWhmpxs', 'date': '2026-04-10', 'type': 'youtube'}, {'channel': 'qsjiRoSKPt0', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'XuXl4s7ewx8', 'date': '2026-04-11', 'type': 'youtube'}]",http://www.firstinmichigan.org,5,2026,fim,FIRST in Michigan,2026fim,83,160,2026
11775 Hewitt Road,Brooklyn,USA,[],2026-03-22,mibkn,1,District,mibkn,,,,2026mibkn,,,Columbia Central High School,FIM District Jackson at Columbia Event presented by Consumers Energy Foundation,,10,Double Elimination Bracket (8 Alliances),49230,,Jackson at Columbia,2026-03-20,MI,America/New_York,"[{'channel': 'hxr4_0sJ_3I', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'gbRtE7EFyPM', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'DNE2Pm4wTlc', 'date': '2026-03-22', 'type': 'youtube'}]",http://www.firstinmichigan.org,2,2026,fim,FIRST in Michigan,2026fim,83,160,2026
24787 Van Horn Road,Brownstown Charter Twp,USA,[],2026-03-15,mibro,1,District,mibro,,,,2026mibro,,,Woodhaven High School,FIM District Woodhaven Event,,10,Double Elimination Bracket (8 Alliances),48134,,Woodhaven,2026-03-13,MI,America/New_York,"[{'channel': 'NYHqAdFNzO8', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'ZbQU8w71TY4', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'd0VIm5kjuTo', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.firstinmichigan.org,1,2026,fim,FIRST in Michigan,2026fim,83,160,2026
740 N Freer Road,Chelsea,USA,[],2026-03-08,miche,1,District,miche,,,,2026miche,,,Chelsea High School,FIM District Chelsea Event presented by DTE,,10,Double Elimination Bracket (8 Alliances),48118,,Chelsea,2026-03-06,MI,America/New_York,"[{'channel': 'TI1FtxdiEuY', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'ByaN3gqmZgA', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'v6cjBPn6XYs', 'date': '2026-03-08', 'type': 'youtube'}]",http://www.firstinmichigan.org,0,2026,fim,FIRST in Michigan,2026fim,83,160,2026
Ryder Center 7400 Bay Road,University Center,USA,"['2026micmp1', '2026micmp2', '2026micmp3', '2026micmp4']",2026-04-18,micmp,2,District Championship,micmp,,,,2026micmp,,,Saginaw Valley State University,FIRST in Michigan State Championship,,11,Double Elimination Bracket (4 Alliances),48710,,Michigan,2026-04-18,MI,America/New_York,"[{'channel': 'jojgMPK-SNc', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'D5XsxjZ5nZ8', 'date': '2026-04-18', 'type': 'youtube'}]",https://www.firstinmichigan.org/,6,2026,fim,FIRST in Michigan,2026fim,83,160,2026
Ryder Center 7400 Bay Road,University Center,USA,[],2026-04-18,micmp1,5,District Championship Division,micmp1,,,,2026micmp1,,,Saginaw Valley State University,FIRST in Michigan State Championship - DTE Energy Foundation Division,2026micmp,10,Double Elimination Bracket (8 Alliances),48710,,MSC - DTE Energy Foundation,2026-04-16,MI,America/New_York,"[{'channel': 'q4JuvuJ0ODc', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': '_DTdFpvdGt0', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'AVni9CPONZs', 'date': '2026-04-18', 'type': 'youtube'}]",https://www.firstinmichigan.org/,6,2026,fim,FIRST in Michigan,2026fim,83,160,2026
Ryder Center 7400 Bay Road,University Center,USA,[],2026-04-18,micmp2,5,District Championship Division,micmp2,,,,2026micmp2,,,Saginaw Valley State University,FIRST in Michigan State Championship - Consumers Energy Foundation Division,2026micmp,10,Double Elimination Bracket (8 Alliances),48710,,MSC - Consumers Energy Foundation,2026-04-16,MI,America/New_York,"[{'channel': '2fJdJsmQINU', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': 'sTcLzQ7DTq0', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '_9wipM30H1U', 'date': '2026-04-18', 'type': 'youtube'}]",https://www.firstinmichigan.org/,6,2026,fim,FIRST in Michigan,2026fim,83,160,2026
