address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
401 S Buchanan Street,Amarillo,USA,[],2026-04-04,txama,1,District,txama,,,,2026txama,,,Amarillo Civic Center,FIT District Amarillo Event,,10,Double Elimination Bracket (8 Alliances),79101,,Amarillo,2026-04-02,TX,America/Chicago,"[{'channel': 'KhaErJ29uwU', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': '805Sn7MqTFg', 'date': '2026-04-04', 'type': 'youtube'}]",https://firstintexas.org/,4,2026,fit,FIRST In Texas,2026fit,28,90,2026
301 West Loop 121,Belton,USA,[],2026-03-07,txbel,1,District,txbel,,,,2026txbel,,,Cadance Bank Center,FIT District Belton Event,,10,Double Elimination Bracket (8 Alliances),76513,,Belton,2026-03-05,TX,America/Chicago,"[{'channel': 'qhY5-7UUtls', 'date': '2026-03-06', 'type': 'youtube'}, {'channel': 'pi9rTgHGVS4', 'date': '2026-03-07', 'type': 'youtube'}]",https://firstintexas.org/,0,2026,fit,FIRST In Texas,2026fit,28,90,2026
4607 FM2351,Friendswood,USA,[],2026-04-04,txcl2,1,District,txcl2,,,,2026txcl2,,,Clear Brook High School,FIT District Space City @ Friendswood Event #2,,10,Double Elimination Bracket (8 Alliances),77546,,Space City @ Friendswood #2,2026-04-02,TX,America/Chicago,"[{'channel': '5lZkG4vJEVA', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'dusHAWIFxPs', 'date': '2026-04-04', 'type': 'youtube'}]",,4,2026,fit,FIRST In Texas,2026fit,28,90,2026
501 Palomino Lane,League City,USA,[],2026-03-09,txcle,1,District,txcle,,,,2026txcle,,,Clear Springs High School,FIT District Space City @ League City Event #1,,10,Double Elimination Bracket (8 Alliances),77546,,Space City @ League City #1,2026-03-07,TX,America/Chicago,"[{'channel': 'pbLkZEimupE', 'date': '2026-03-08', 'type': 'youtube'}, {'channel': 'ZW92a5Y3wVM', 'date': '2026-03-09', 'type': 'youtube'}]",https://firstintexas.org/,0,2026,fit,FIRST In Texas,2026fit,28,90,2026
1 NRG Pkwy,Houston,USA,"['2026txcmp1', '2026txcmp2']",2026-04-18,txcmp,2,District Championship,txcmp,,,,2026txcmp,,,NRG Arena,FIRST In Texas District Championship,,9,Elimination Bracket (2 Alliances),77054,,Texas,2026-04-18,TX,America/Chicago,"[{'channel': 'bZTgbibKl9I', 'date': '2026-04-18', 'type': 'youtube'}]",https://firstintexas.org/,6,2026,fit,FIRST In Texas,2026fit,28,90,2026
1 NRG Pkwy,Houston,USA,[],2026-04-18,txcmp1,5,District Championship Division,txcmp1,,,,2026txcmp1,,,NRG Arena,FIRST In Texas District Championship - Mercury Division,2026txcmp,10,Double Elimination Bracket (8 Alliances),77054,,TDC - Mercury,2026-04-15,TX,America/Chicago,"[{'channel': 'Iipn3zVXkJA', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': 'CetPJj_yvAI', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'Aned9tXAtW0', 'date': '2026-04-18', 'type': 'youtube'}]",https://firstintexas.org/,6,2026,fit,FIRST In Texas,2026fit,28,90,2026
1 NRG Pkwy,Houston,USA,[],2026-04-18,txcmp2,5,District Championship Division,txcmp2,,,,2026txcmp2,,,NRG Arena,FIRST In Texas District Championship - Apollo Division,2026txcmp,10,Double Elimination Bracket (8 Alliances),77054,,TDC - Apollo,2026-04-15,TX,America/Chicago,"[{'channel': 'GV7kNTLVUXw', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': '1GfEjgeIf1o', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'bZTgbibKl9I', 'date': '2026-04-18', 'type': 'youtube'}]",https://firstintexas.org/,6,2026,fit,FIRST In Texas,2026fit,28,90,2026
940 Highway 290 West,Dripping Springs,USA,[],2026-04-04,txdri,1,District,txdri,,,,2026txdri,,,Dripping Springs High School,FIT District Dripping Springs Event,,10,Double Elimination Bracket (8 Alliances),78620,,Dripping Springs,2026-04-02,TX,America/Chicago,"[{'channel': 'PR-jxIxxyC8', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'I-puMMD3TbQ', 'date': '2026-04-04', 'type': 'youtube'}]",https://firstintexas.org/,4,2026,fit,FIRST In Texas,2026fit,28,90,2026
499 South State Highway 78,Farmersville,USA,[],2026-03-29,txfar,1,District,txfar,,,,2026txfar,,,Farmersville Arena,FIT District Farmersville Event,,10,Double Elimination Bracket (8 Alliances),75442,,Farmersville,2026-03-27,TX,America/Chicago,"[{'channel': 'qeuq_8sPV5s', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'LTRIGRSk8F0', 'date': '2026-03-29', 'type': 'youtube'}]",https://firstintexas.org/,3,2026,fit,FIRST In Texas,2026fit,28,90,2026
4501 Bridge Street,Fort Worth,USA,[],2026-03-21,txfor,1,District,txfor,,,,2026txfor,,,Nolan Catholic High School,FIT District Fort Worth Event,,10,Double Elimination Bracket (8 Alliances),76103,,Fort Worth,2026-03-19,TX,America/Chicago,"[{'channel': '_OkFdsobunM', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'CPvXm-VTy9E', 'date': '2026-03-21', 'type': 'youtube'}]",https://firstintexas.org/,2,2026,fit,FIRST In Texas,2026fit,28,90,2026
"1865 Aldine Bender, FM 525",Houston,USA,[],2026-03-21,txhou,1,District,txhou,,,,2026txhou,,,M. O. Campbell Educational Center,FIT District Houston Event,,10,Double Elimination Bracket (8 Alliances),77032,,Houston,2026-03-19,TX,America/Chicago,"[{'channel': 'zOZBHNLD39I', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'W5eASwmDhXY', 'date': '2026-03-21', 'type': 'youtube'}]",https://firstintexas.org/,2,2026,fit,FIRST In Texas,2026fit,28,90,2026
"14832 FM973, Building E",Manor,USA,[],2026-03-29,txman,1,District,txman,,,,2026txman,,,Manor Senior High School,FIT District Manor Event,,10,Double Elimination Bracket (8 Alliances),78653,,Manor,2026-03-27,TX,America/Chicago,"[{'channel': '0wrsJ22RAAQ', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'T9w_DS7h0rU', 'date': '2026-03-29', 'type': 'youtube'}]",https://firstintexas.org/,3,2026,fit,FIRST In Texas,2026fit,28,90,2026
700 Convention Center Blvd,McAllen,USA,[],2026-03-14,txmca,1,District,txmca,,,,2026txmca,,,McAllen Convention Center,FIT District McAllen Event,,10,Double Elimination Bracket (8 Alliances),78501,,McAllen,2026-03-12,TX,America/Chicago,"[{'channel': 'tHAr8Cp5mFg', 'date': '2026-03-12', 'type': 'youtube'}, {'channel': 'tHAr8Cp5mFg', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': '9pQxuYildxc', 'date': '2026-03-14', 'type': 'youtube'}]",https://firstintexas.org/,1,2026,fit,FIRST In Texas,2026fit,28,90,2026
3201 East Houston Street,San Antonio,USA,[],2026-03-14,txsan,1,District,txsan,,,,2026txsan,,,Freeman Coliseum,FIT District San Antonio Event,,10,Double Elimination Bracket (8 Alliances),78219,,San Antonio,2026-03-12,TX,America/Chicago,"[{'channel': 'pEOSdEt63jc', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'trFHQ_0Q6oM', 'date': '2026-03-14', 'type': 'youtube'}]",https://firstintexas.org/,1,2026,fit,FIRST In Texas,2026fit,28,90,2026
4601 Bosque Blvd,Waco,USA,[],2026-03-21,txwac,1,District,txwac,,,,2026txwac,,,Extraco Event Center,FIT District Waco Event,,10,Double Elimination Bracket (8 Alliances),76710,,Waco,2026-03-19,TX,America/Chicago,"[{'channel': 'HNME2CCvUx0', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': '5PQygs3nSpc', 'date': '2026-03-21', 'type': 'youtube'}]",https://firstintexas.org/,2,2026,fit,FIRST In Texas,2026fit,28,90,2026
