address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
124 Goodman Drive,Bethlehem,USA,[],2026-04-18,mrcmp,2,District Championship,mrcmp,,,,2026mrcmp,,,Lehigh University - Stabler Arena,FIRST Mid-Atlantic District Championship,,10,Double Elimination Bracket (8 Alliances),18015,,Mid-Atlantic,2026-04-15,PA,America/New_York,"[{'channel': '7x0byTZHZvA', 'date': '2026-04-16', 'type': 'youtube'}, {'channel': '21XI3EQbwzo', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'TEDXtzR1Dwk', 'date': '2026-04-18', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,6,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
18 Corey Road,Flanders,USA,[],2026-03-29,njfla,1,District,njfla,,,,2026njfla,,,Mount Olive High School,FMA District Mount Olive Event,,10,Double Elimination Bracket (8 Alliances),07836,,Mount Olive,2026-03-27,NJ,America/New_York,"[{'channel': 'Eg2ejNYXSSA', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 's70fq8zjFng', 'date': '2026-03-29', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,3,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
155 Robbinsville Edinburg Road,Trenton,USA,[],2026-03-22,njrob,1,District,njrob,,,,2026njrob,,,Robbinsville High School,FMA District Robbinsville Event,,10,Double Elimination Bracket (8 Alliances),08691,,Robbinsville,2026-03-20,NJ,America/New_York,"[{'channel': 'lKdTAirnY1Q', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'kGkolzf4vyM', 'date': '2026-03-22', 'type': 'youtube'}]",https://midatlanticrobotics.com/,2,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
1016 Route 601,Skillman,USA,[],2026-04-12,njski,1,District,njski,,,,2026njski,,,Montgomery Township High School,FMA District Montgomery Event,,10,Double Elimination Bracket (8 Alliances),08558,,Montgomery,2026-04-10,NJ,America/New_York,"[{'channel': 'DHOvSiHVN2M', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'VNEqq03jaG4', 'date': '2026-04-12', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,5,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
110 Carranza Road,Tabernacle,USA,[],2026-03-15,njtab,1,District,njtab,,,,2026njtab,,,Seneca High School,FMA District Seneca Event,,10,Double Elimination Bracket (8 Alliances),08088,,Seneca,2026-03-13,NJ,America/New_York,"[{'channel': 'EFVgQ8BkwPY', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'tTtuOXyz3GM', 'date': '2026-03-15', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,1,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
41 Jackson Valley Road,Washington,USA,[],2026-03-08,njwas,1,District,njwas,,,,2026njwas,,,Warren Hills High School,FMA District Warren Hills Event,,10,Double Elimination Bracket (8 Alliances),07882,,Warren Hills,2026-03-06,NJ,America/New_York,"[{'channel': 'INnwR4le4-g', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'KSFllkt7pkw', 'date': '2026-03-08', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,0,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
4319 Hulmeville Road,Bensalem,USA,[],2026-03-29,paben,1,District,paben,,,,2026paben,,,Bensalem Township High School,FMA District Bensalem Event,,10,Double Elimination Bracket (8 Alliances),19020,,Bensalem,2026-03-27,PA,America/New_York,"[{'channel': 'pnRNv7dWc0s', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'AYAkEODJl80', 'date': '2026-03-29', 'type': 'youtube'}]",https://midatlanticrobotics.com/,3,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
899 Horsham Road,Horsham,USA,[],2026-03-08,pahat,1,District,pahat,,,,2026pahat,,,Hatboro-Horsham High School,FMA District Hatboro-Horsham Event,,10,Double Elimination Bracket (8 Alliances),19044,,Hatboro-Horsham,2026-03-06,PA,America/New_York,"[{'channel': 'Vmt57M8SGq4', 'date': '2026-03-07', 'type': 'youtube'}, {'channel': 'rDnjUVFspQI', 'date': '2026-03-08', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,0,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
3201 Ryan Ave,Philadelphia,USA,[],2026-04-04,paphi,1,District,paphi,,,,2026paphi,,,Abraham Lincoln High School,FMA District Philadelphia Event,,10,Double Elimination Bracket (8 Alliances),19136,,Philadelphia,2026-04-02,PA,America/New_York,"[{'channel': '2mkkMIszY-E', 'date': '2026-04-03', 'type': 'youtube'}, {'channel': 'rCyla8GKD30', 'date': '2026-04-04', 'type': 'youtube'}]",http://www.midatlanticrobotics.com/,4,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
333 Centennial Road,Warminster,USA,[],2026-03-22,pawar,1,District,pawar,,,,2026pawar,,,William Tennent High School,FMA District Centennial Event,,10,Double Elimination Bracket (8 Alliances),18974,,Centennial,2026-03-20,PA,America/New_York,"[{'channel': 'xM0z2ru6_T4', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'OheMPDtJfuM', 'date': '2026-03-22', 'type': 'youtube'}]",https://midatlanticrobotics.com/,2,2026,fma,FIRST Mid-Atlantic,2026fma,23,66,2026
