address,city,country,division_keys,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,remap_teams,short_name,start_date,state_prov,timezone,webcasts,website,week,year,district.abbreviation,district.display_name,district.key,district.official_advancement_counts.cmp,district.official_advancement_counts.dcmp,district.year
1 Georgian Drive,Barrie,Canada,[],2026-03-29,onbar,1,District,onbar,,,,2026onbar,,,Georgian College,ONT District Georgian College Event,,10,Double Elimination Bracket (8 Alliances),L4M 4H8,,Georgian College,2026-03-27,ON,America/New_York,"[{'channel': 'zd8j7VrON-A', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'JWFkw4H2TJM', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'EdYdMDf1yNU', 'date': '2026-03-29', 'type': 'youtube'}, {'channel': 'N9_ArEuZfkM', 'date': '2026-03-29', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-georgian-college-event-4/,3,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
6815 Stanley Ave,Niagara Falls,Canada,"['2026oncmp1', '2026oncmp2']",2026-04-19,oncmp,2,District Championship,oncmp,,,,2026oncmp,,,Niagara Falls Convention Centre,FIRST Ontario Provincial Championship,,9,Elimination Bracket (2 Alliances),L2G 7B6,,Ontario,2026-04-19,ON,America/New_York,"[{'channel': 'SWDl6j-yXCM', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '87kv97hyYhs', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'o3232RLS-s0', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': '__XhxKqhXL4', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': '3YxpZ6vGk00', 'date': '2026-04-19', 'type': 'youtube'}, {'channel': 'ZpiiJt-m2X4', 'date': '2026-04-19', 'type': 'youtube'}]",https://firstroboticscanada.org/event/first-ontario-provincial-championship-2/,6,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
6815 Stanley Ave,Niagara Falls,Canada,[],2026-04-19,oncmp1,5,District Championship Division,oncmp1,,,,2026oncmp1,,,Niagara Falls Convention Centre,FIRST Ontario Provincial Championship - Science Division,2026oncmp,10,Double Elimination Bracket (8 Alliances),L2G 7B6,,OPC - Science,2026-04-16,ON,America/New_York,"[{'channel': 'SWDl6j-yXCM', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '87kv97hyYhs', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': '__XhxKqhXL4', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'o3232RLS-s0', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': '3YxpZ6vGk00', 'date': '2026-04-19', 'type': 'youtube'}, {'channel': 'ZpiiJt-m2X4', 'date': '2026-04-19', 'type': 'youtube'}]",https://firstroboticscanada.org/event/first-ontario-provincial-championship-2/,6,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
6815 Stanley Ave,Niagara Falls,Canada,[],2026-04-19,oncmp2,5,District Championship Division,oncmp2,,,,2026oncmp2,,,Niagara Falls Convention Centre,FIRST Ontario Provincial Championship - Technology Division,2026oncmp,10,Double Elimination Bracket (8 Alliances),L2G 7B6,,OPC - Technology,2026-04-16,ON,America/New_York,"[{'channel': 'd5drx_8Ujkk', 'date': '2026-04-17', 'type': 'youtube'}, {'channel': 'vKbdsFcncbw', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': '3gWTNU7lsbE', 'date': '2026-04-18', 'type': 'youtube'}, {'channel': 'RRB7cwXzYFs', 'date': '2026-04-19', 'type': 'youtube'}, {'channel': '853MX55sF3o', 'date': '2026-04-19', 'type': 'youtube'}]",https://firstroboticscanada.org/event/first-ontario-provincial-championship-2/,6,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
1280 Main Street West,Hamilton,Canada,[],2026-03-22,onham,1,District,onham,,,,2026onham,,,McMaster University,ONT District McMaster University Event,,10,Double Elimination Bracket (8 Alliances),L8S 4L8,,McMaster University,2026-03-20,ON,America/New_York,"[{'channel': 'gwGLcuzDr00', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'p7XiXV5Jd6Q', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'IZcwzHRX4lI', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': '6AkVB8jMpj0', 'date': '2026-03-22', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-mcmaster-university/,2,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
Robert J. Surtees Athletics Centre 100 College Drive,North Bay,Canada,[],2026-03-22,onnob,1,District,onnob,,,,2026onnob,,,Nipissing University,ONT District North Bay Event,,10,Double Elimination Bracket (8 Alliances),P1B 0G1,,North Bay,2026-03-20,ON,America/New_York,"[{'channel': 'FdNTqW21HB0', 'date': '2026-03-20', 'type': 'youtube'}, {'channel': 'x-xWHwBXsyI', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'Ja4qs_rhyQw', 'date': '2026-03-21', 'type': 'youtube'}, {'channel': 'FdNTqW21HB0', 'date': '2026-03-22', 'type': 'youtube'}, {'channel': 'vMkxSAK2RK8', 'date': '2026-03-22', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-north-bay-event-5/,2,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
2000 Simcoe Street North,Oshawa,Canada,[],2026-03-15,onosh,1,District,onosh,,,,2026onosh,,,Durham College,ONT District Durham College Event,,10,Double Elimination Bracket (8 Alliances),L1G 0C8,,Durham College,2026-03-13,ON,America/New_York,"[{'channel': 'zh-CdJSxZYQ', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': '8xCf1fyjjDc', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'KxiMft2v8TA', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'SuM9w2_7c1k', 'date': '2026-03-13', 'type': 'youtube'}, {'channel': 'KxiMft2v8TA', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'SuM9w2_7c1k', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'zh-CdJSxZYQ', 'date': '2026-03-15', 'type': 'youtube'}, {'channel': '8xCf1fyjjDc', 'date': '2026-03-15', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-durham-college-event-5/,1,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
North Athletic Centre Building A 205 Humber College Blvd,Etobicoke,Canada,[],2026-03-14,ontor,1,District,ontor,,,,2026ontor,,,Humber College,ONT District Humber Polytechnic Event,,10,Double Elimination Bracket (8 Alliances),M9W 5L7,,Humber Polytechnic,2026-03-12,ON,America/New_York,"[{'channel': 'RVFVR4fQNWQ', 'date': '2026-03-12', 'type': 'youtube'}, {'channel': 'yAnRCWWH6ic', 'date': '2026-03-12', 'type': 'youtube'}, {'channel': 'j1K4yDgVIAs', 'date': '2026-03-14', 'type': 'youtube'}, {'channel': 'lg4OwNqoKMw', 'date': '2026-03-14', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-humber-polytechnic-event/,1,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
PAC - Physical Activities Complex 200 University Ave West,Waterloo,Canada,[],2026-03-28,onwat,1,District,onwat,,,,2026onwat,,,University of Waterloo,ONT District University of Waterloo Event,,10,Double Elimination Bracket (8 Alliances),N2L 3G3,,University of Waterloo,2026-03-26,ON,America/New_York,"[{'channel': 'WMCVEBcqu1k', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'xGseC7Sqheo', 'date': '2026-03-27', 'type': 'youtube'}, {'channel': 'mcH8xht7D84', 'date': '2026-03-28', 'type': 'youtube'}, {'channel': 'CEYMdGdXCNU', 'date': '2026-03-28', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-university-of-waterloo-event-6/,3,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
100 Niagara College Blvd,Welland,Canada,[],2026-04-12,onwel,1,District,onwel,,,,2026onwel,,,Niagara College,ONT District Niagara College Event,,10,Double Elimination Bracket (8 Alliances),L3C 7L3,,Niagara College,2026-04-10,ON,America/New_York,"[{'channel': '8MlDe4UCfj8', 'date': '2026-04-11', 'type': 'youtube'}, {'channel': 'johSOYOOzUQ', 'date': '2026-04-12', 'type': 'youtube'}, {'channel': '4hFegGyQBqc', 'date': '2026-04-12', 'type': 'youtube'}]",https://firstroboticscanada.org/event/ont-district-niagara-college-event-2/,5,2026,ont,FIRST Canada - Ontario,2026ont,21,100,2026
